state,school,userId,school,state,Lat,Long
AK,Archbishop Rummel High School,1,,,29.9900243,-90.1593223
AK,Ballenas Secondary School,1,,,49.32192999999999,-124.338968
AK,Boston Latin,1,,,42.3378891,-71.1011283
AK,Chugiak High School,1,,,61.3685339,-149.5365548
AK,Colony High School,1,,,61.6082098,-149.2126949
AK,Countryside High School,1,,,28.0242005,-82.71129859999999
AK,Joe Redington Senior Jr/Sr High School,1,,,,
AK,Petersburg High School,1,,,37.1859625,-77.3993557
AK,Savannah Arts Academy,1,,,32.0460348,-81.0928508
AK,Wasilla High School,1,,,61.5883494,-149.4311046
AK,West Valley High School,1,,,64.85110379999999,-147.8251848
AL,7th,1,,,32.6998766,-87.8549755
AL,7th Grade Homewood Middle School,1,,,33.4774024,-86.8110739
AL,AMS,1,,,41.116861,20.083511
AL,Alexander City Middle School,1,,,32.9452457,-85.94867169999999
AL,Alexandria High School,1,,,33.775403,-85.8862499
AL,American Christian Academy,1,,,33.1994604,-87.5079894
AL,Ariton ,1,,,31.6001655,-85.7188298
AL,Ariton High School,2,,,31.6021893,-85.7210568
AL,Ashland Middle School,1,,,42.1933629,-122.6870725
AL,Ashley Ridge High School,1,,,32.924762,-80.2328752
AL,Auburn High School,5,,,32.6037519,-85.4463916
AL,Austin High School,1,,,30.267153,-97.7430608
AL,Babylon Junior-Senior High School,1,,,40.6990261,-73.3252157
AL,Baker High School,1,,,30.6695103,-88.25222149999999
AL,Baldwin street middle school,1,,,42.9103892,-85.8792627
AL,Barnegat High School,1,,,39.771801,-74.23400149999999
AL,Bates Technical High School,1,,,47.2522504,-122.4471067
AL,Bayisde Academy,1,,,30.6022196,-87.9111082
AL,Berry Middle School,3,,,33.3950968,-86.73214209999999
AL,Beulah High School,1,,,32.7107058,-85.1882239
AL,Bibb County High School,1,,,32.9478068,-87.1423441
AL,Blessed Trinity Catholic High School,1,,,34.055562,-84.390835
AL,Boaz Middle School,1,,,34.2132771,-86.1613637
AL,Bob Jones High School,10,,,34.71913500000001,-86.7422009
AL,Brandon middle  school ,1,,,36.7929808,-76.1921395
AL,Briarwood Christian School,3,,,33.3916602,-86.68982770000001
AL,Brookside Intermediate School,1,,,,
AL,Campbell High School,1,,,,
AL,Central Christian School,1,,,30.5462925,-87.7264967
AL,Central High School,1,,,32.4849608,-85.0395037
AL,Central Regional High School,1,,,,
AL,Chelsea High School,5,,,33.3340402,-86.6803542
AL,Chilton County High School,1,,,32.82187,-86.61271090000001
AL,Chippewa High School,1,,,40.9613912,-81.6921868
AL,Christ The King Secondary School,1,,,,
AL,Clay-Chalkville High School,1,,,33.6954677,-86.6023597
AL,Cobequid Educational Centre,1,,,32.3182314,-86.902298
AL,Corner Brook Intermediate,1,,,48.949395,-57.9502211
AL,Corner High School,1,,,33.7613051,-86.9670708
AL,Cullman High School,1,,,34.1885944,-86.8418216
AL,Dadeville High School ,1,,,32.8287851,-85.7552698
AL,Daphne High School,5,,,30.6392446,-87.8641914
AL,East Islip High School,1,,,40.7501032,-73.18304549999999
AL,East Limestone High School,1,,,34.7833247,-86.8336075
AL,Eastmark High School,1,,,33.3221646,-111.6265413
AL,El Capitan High School,1,,,32.8683679,-116.9164494
AL,Elmore County High School,1,,,32.6322059,-86.0290603
AL,Etowah High School,1,,,33.9958787,-86.1114886
AL,Fayette County High School,1,,,33.703102,-87.82112939999999
AL,Friendswood High School,1,,,29.51247459999999,-95.20916299999999
AL,Gardendale High School,4,,,33.6469116,-86.81363669999999
AL,Geneva High School,1,,,31.04372459999999,-85.8812145
AL,George Washington Carver High School,1,,,33.5571297,-86.82685289999999
AL,Glenwood School ,1,,,32.5370292,-85.04974519999999
AL,Harrison High School ,1,,,,
